Timestamp,Width (cm),Height (cm),Image Filename
2025-07-22_13-58-26-847,20.2,0.0,2025-07-22_13-58-26-847.jpg
2025-07-22_13-58-27-803,20.2,0.0,2025-07-22_13-58-27-803.jpg
2025-07-22_13-58-28-920,19.7,0.0,2025-07-22_13-58-28-920.jpg
2025-07-22_13-58-30-434,19.7,0.0,2025-07-22_13-58-30-434.jpg
2025-07-22_13-58-31-630,19.7,0.0,2025-07-22_13-58-31-630.jpg
2025-07-22_13-58-32-272,19.7,0.0,2025-07-22_13-58-32-272.jpg
2025-07-22_13-58-32-993,19.7,0.0,2025-07-22_13-58-32-993.jpg
2025-07-22_13-58-33-947,19.7,0.0,2025-07-22_13-58-33-947.jpg
2025-07-22_13-58-35-145,19.7,0.0,2025-07-22_13-58-35-145.jpg
2025-07-22_13-58-35-945,19.7,0.0,2025-07-22_13-58-35-945.jpg
2025-07-22_13-58-37-299,19.7,0.0,2025-07-22_13-58-37-299.jpg
2025-07-22_13-58-38-181,19.7,0.0,2025-07-22_13-58-38-181.jpg
2025-07-22_13-58-38-976,19.7,0.0,2025-07-22_13-58-38-976.jpg
2025-07-22_13-58-39-774,19.7,0.0,2025-07-22_13-58-39-774.jpg
2025-07-22_13-58-40-334,19.7,0.0,2025-07-22_13-58-40-334.jpg
2025-07-22_13-58-41-930,19.7,0.0,2025-07-22_13-58-41-930.jpg
2025-07-22_13-58-44-404,19.7,0.0,2025-07-22_13-58-44-404.jpg
2025-07-22_13-58-45-522,19.7,0.0,2025-07-22_13-58-45-522.jpg
2025-07-22_13-58-46-238,19.7,0.0,2025-07-22_13-58-46-238.jpg
2025-07-22_13-58-46-959,19.7,0.0,2025-07-22_13-58-46-959.jpg
2025-07-22_13-58-47-519,19.7,0.0,2025-07-22_13-58-47-519.jpg
2025-07-22_13-58-48-236,19.7,0.0,2025-07-22_13-58-48-236.jpg
2025-07-22_13-58-48-876,19.7,0.0,2025-07-22_13-58-48-876.jpg
2025-07-22_13-58-49-671,19.7,0.0,2025-07-22_13-58-49-671.jpg
2025-07-22_14-04-00-661,11.3,16.3,2025-07-22_14-04-00-661.jpg
2025-07-22_14-04-12-758,0.0,16.3,2025-07-22_14-04-12-758.jpg
2025-07-22_14-04-13-421,0.0,17.0,2025-07-22_14-04-13-421.jpg
2025-07-22_14-04-13-924,0.0,17.0,2025-07-22_14-04-13-924.jpg
2025-07-22_14-04-14-455,16.0,5.1,2025-07-22_14-04-14-455.jpg
2025-07-22_14-04-14-988,17.3,4.0,2025-07-22_14-04-14-988.jpg
2025-07-22_14-04-15-519,17.5,3.9,2025-07-22_14-04-15-519.jpg
2025-07-22_14-04-16-056,17.5,3.9,2025-07-22_14-04-16-056.jpg
2025-07-22_14-04-16-588,17.5,3.9,2025-07-22_14-04-16-588.jpg
2025-07-22_14-04-17-118,17.3,4.1,2025-07-22_14-04-17-118.jpg
2025-07-22_14-04-17-620,16.0,3.9,2025-07-22_14-04-17-620.jpg
2025-07-22_14-04-18-186,17.5,4.1,2025-07-22_14-04-18-186.jpg
2025-07-22_14-05-57-521,0.0,16.6,2025-07-22_14-05-57-521.jpg
2025-07-22_14-05-58-056,18.7,0.0,2025-07-22_14-05-58-056.jpg
2025-07-22_14-05-58-597,18.7,0.0,2025-07-22_14-05-58-597.jpg
2025-07-22_14-05-59-196,9.5,0.0,2025-07-22_14-05-59-196.jpg
2025-07-22_14-05-59-797,9.5,0.0,2025-07-22_14-05-59-797.jpg
2025-07-22_14-06-01-233,10.4,0.0,2025-07-22_14-06-01-233.jpg
2025-07-22_14-06-02-553,10.4,0.0,2025-07-22_14-06-02-553.jpg
2025-07-22_14-06-03-099,9.0,0.0,2025-07-22_14-06-03-099.jpg
2025-07-22_14-06-04-172,16.5,0.0,2025-07-22_14-06-04-172.jpg
2025-07-22_14-06-04-952,16.5,0.0,2025-07-22_14-06-04-952.jpg
2025-07-22_14-06-06-148,16.5,0.0,2025-07-22_14-06-06-148.jpg
2025-07-22_14-15-11-105,9.8,14.4,2025-07-22_14-15-11-105.jpg
